sample_id,noc
sample_0000,5
sample_0001,5
sample_0002,5
sample_0003,1
sample_0004,1
sample_0005,1
sample_0006,5
sample_0007,1
sample_0008,5
sample_0009,5
sample_0010,5
sample_0011,1
sample_0012,1
sample_0013,1
sample_0014,5
sample_0015,5
sample_0016,5
sample_0017,1
sample_0018,1
sample_0019,1
sample_0020,5
sample_0021,5
sample_0022,5
sample_0023,1
sample_0024,1
sample_0025,1
sample_0026,4
sample_0027,4
sample_0028,4
sample_0029,3
sample_0030,3
sample_0031,3
sample_0032,2
sample_0033,2
sample_0034,2
