sample_id,noc,filename
sample_0000,5,PROVEDIt_1-5-Person CSVs Filtered_3130_IDPlus28cycles/2-5-Persons/20 sec/RD14-0003_IP_20sec_GM_F_2-5P.csv
sample_0001,5,PROVEDIt_1-5-Person CSVs Filtered_3130_IDPlus28cycles/2-5-Persons/10 sec/RD14-0003_IP_10sec_GM_F_2-5P.csv
sample_0002,5,PROVEDIt_1-5-Person CSVs Filtered_3130_IDPlus28cycles/2-5-Persons/5 sec/RD14-0003_IP_5sec_GM_F_2-5P.csv
sample_0003,1,PROVEDIt_1-5-Person CSVs Filtered_3130_IDPlus28cycles/1-Person/20 sec/RD14-0003_IP_20sec_GM_F_1P.csv
sample_0004,1,PROVEDIt_1-5-Person CSVs Filtered_3130_IDPlus28cycles/1-Person/10 sec/RD14-0003_IP_10sec_GM_F_1P.csv
sample_0005,1,PROVEDIt_1-5-Person CSVs Filtered_3130_IDPlus28cycles/1-Person/5 sec/RD14-0003_IP_5sec_GM_F_1P.csv
sample_0006,1,PROVEDIt_1-5-Person CSVs Filtered_3500_F6C29cycles_hlfrxn/1-Person/15 sec/RD14-0003_F6C_15sec_GM_F_1P.csv
sample_0007,5,PROVEDIt_1-5-Person CSVs Filtered_3500_GF29cycles/2-5-Persons/15 sec/RD14-0003_GF_15sec_GM_SE33F_2-5P.csv
sample_0008,5,PROVEDIt_1-5-Person CSVs Filtered_3500_GF29cycles/2-5-Persons/25 sec/RD14-0003_GF_25sec_GM_SE33F_2-5P.csv
sample_0009,5,PROVEDIt_1-5-Person CSVs Filtered_3500_GF29cycles/2-5-Persons/5 sec/RD14-0003_GF_5sec_GM_SE33F_2-5P.csv
sample_0010,1,PROVEDIt_1-5-Person CSVs Filtered_3500_GF29cycles/1-Person/15 sec/RD14-0003_GF_15sec_GM_SE33F_1P.csv
sample_0011,1,PROVEDIt_1-5-Person CSVs Filtered_3500_GF29cycles/1-Person/25 sec/RD14-0003_GF_25sec_GM_SE33F_1P.csv
sample_0012,1,PROVEDIt_1-5-Person CSVs Filtered_3500_GF29cycles/1-Person/5 sec/RD14-0003_GF_5sec_GM_SE33F_1P.csv
sample_0013,5,PROVEDIt_1-5-Person CSVs Filtered_3130_PP16HS32cycles/2-5-Persons/20 sec/RD12-0002(102414LEA_20sec)_GM_F_2-5P.csv
sample_0014,5,PROVEDIt_1-5-Person CSVs Filtered_3130_PP16HS32cycles/2-5-Persons/10 sec/RD12-0002(102414LEA_10sec)_GM_F_2-5P.csv
sample_0015,5,PROVEDIt_1-5-Person CSVs Filtered_3130_PP16HS32cycles/2-5-Persons/5 sec/RD12-0002(102414LEA_5sec)_GM_F_2-5P.csv
sample_0016,1,PROVEDIt_1-5-Person CSVs Filtered_3130_PP16HS32cycles/1-Person/20 sec/RD12-0002_PP16HS_20sec_GM_F_1P.csv
sample_0017,1,PROVEDIt_1-5-Person CSVs Filtered_3130_PP16HS32cycles/1-Person/10 sec/RD12-0002_PP16HS_10sec_GM_F_1P.csv
sample_0018,1,PROVEDIt_1-5-Person CSVs Filtered_3130_PP16HS32cycles/1-Person/5 sec/RD12-0002_PP16HS_5sec_GM_F_1P.csv
sample_0019,5,PROVEDIt_1-5-Person CSVs Filtered_3500_IDPlus29cycles/5-Person/15 sec/RD12-0002(052516KCP_15sec)_GM_F_5P.csv
sample_0020,5,PROVEDIt_1-5-Person CSVs Filtered_3500_IDPlus29cycles/5-Person/25 sec/RD12-0002(052516KCP_25sec)_GM_F_5P.csv
sample_0021,5,PROVEDIt_1-5-Person CSVs Filtered_3500_IDPlus29cycles/5-Person/5 sec/RD12-0002(052516KCP_5sec)_GM_F_5P.csv
sample_0022,1,PROVEDIt_1-5-Person CSVs Filtered_3500_IDPlus29cycles/1-Person/15 sec/RD12-0002_15sec_GM_F_1P.csv
sample_0023,1,PROVEDIt_1-5-Person CSVs Filtered_3500_IDPlus29cycles/1-Person/25 sec/RD12-0002_25sec_GM_F_1P.csv
sample_0024,1,PROVEDIt_1-5-Person CSVs Filtered_3500_IDPlus29cycles/1-Person/5 sec/RD12-0002_5sec_GM_F_1P.csv
sample_0025,4,PROVEDIt_1-5-Person CSVs Filtered_3500_IDPlus29cycles/4-Person/15 sec/RD12-0002(063016KCP_15sec)_GM_F_4P.csv
sample_0026,4,PROVEDIt_1-5-Person CSVs Filtered_3500_IDPlus29cycles/4-Person/25 sec/RD12-0002(063016KCP_25sec)_GM_F_4P.csv
sample_0027,4,PROVEDIt_1-5-Person CSVs Filtered_3500_IDPlus29cycles/4-Person/5 sec/RD12-0002(063016KCP_5sec)_GM_F_4P.csv
sample_0028,3,PROVEDIt_1-5-Person CSVs Filtered_3500_IDPlus29cycles/3-Person/15 sec/RD12-0002_15sec_GM_F_3P.csv
sample_0029,3,PROVEDIt_1-5-Person CSVs Filtered_3500_IDPlus29cycles/3-Person/25 sec/RD12-0002_25sec_GM_F_3P.csv
sample_0030,3,PROVEDIt_1-5-Person CSVs Filtered_3500_IDPlus29cycles/3-Person/5 sec/RD12-0002_5sec_GM_F_3P.csv
sample_0031,2,PROVEDIt_1-5-Person CSVs Filtered_3500_IDPlus29cycles/2-Person/15 sec/RD12-0002_15sec_GM_F_2P.csv
sample_0032,2,PROVEDIt_1-5-Person CSVs Filtered_3500_IDPlus29cycles/2-Person/25 sec/RD12-0002_25sec_GM_F_2P.csv
sample_0033,2,PROVEDIt_1-5-Person CSVs Filtered_3500_IDPlus29cycles/2-Person/5 sec/RD12-0002_5sec_GM_F_2P.csv
